FactorID,Scope,Category1,Category2,Category3,Category4,Description,UOM,GHGUnit,Factor,FactorYear,PublicationDate,PublicationVersion
1_100_1000_15_1,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e,3033.380671,2023,20/06/2023,1.1
1_100_1000_15_2,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of CO2 per unit,3029.26,2023,20/06/2023,1.1
1_100_1000_15_3,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of CH4 per unit,2.52,2023,20/06/2023,1.1
1_100_1000_15_4,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of N2O per unit,1.600671141,2023,20/06/2023,1.1
1_100_1000_8_1,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e,1.745329632,2023,20/06/2023,1.1
1_100_1000_8_2,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e of CO2 per unit,1.74296,2023,20/06/2023,1.1
1_100_1000_8_3,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e of CH4 per unit,0.0014448,2023,20/06/2023,1.1
1_100_1000_8_4,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e of N2O per unit,0.000924832,2023,20/06/2023,1.1
1_100_1000_7_1,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e,0.241066097,2023,20/06/2023,1.1
1_100_1000_7_2,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e of CO2 per unit,0.24074,2023,20/06/2023,1.1
1_100_1000_7_3,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e of CH4 per unit,0.0002016,2023,20/06/2023,1.1
1_100_1000_7_4,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e of N2O per unit,0.000124497,2023,20/06/2023,1.1
1_100_1000_6_1,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e,0.222406004,2023,20/06/2023,1.1
1_100_1000_6_2,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e of CO2 per unit,0.2221,2023,20/06/2023,1.1
1_100_1000_6_3,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e of CH4 per unit,0.0001904,2023,20/06/2023,1.1
1_100_1000_6_4,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e of N2O per unit,0.000115604,2023,20/06/2023,1.1
1_100_1001_15_1,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e,2562.574411,2023,20/06/2023,1.1
1_100_1001_15_2,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e of CO2 per unit,2557.53,2023,20/06/2023,1.1
1_100_1001_15_3,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e of CH4 per unit,3.8528,2023,20/06/2023,1.1
1_100_1001_15_4,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e of N2O per unit,1.191610738,2023,20/06/2023,1.1
1_100_1001_8_1,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e,0.44844653,2023,20/06/2023,1.1
1_100_1001_8_2,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e of CO2 per unit,0.44757,2023,20/06/2023,1.1
1_100_1001_8_3,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e of CH4 per unit,0.000672,2023,20/06/2023,1.1
